epoch,revenue
0,70.0
1,46.15030422844029
2,41.5881691882082
3,80.22156541599357
4,82.49571522413629
5,104.20286664732129
6,123.85399767145674
7,142.9498355761712
8,161.8718266199832
9,181.48564230877494
10,199.95241408011634
11,218.73249034571023
12,238.3906867594769
13,255.5507493963208
14,274.94152690052374
15,293.9368895349944
16,311.3311754655367
17,330.69409096952063
18,348.2095681667702
19,367.1142697652307
20,384.3500861934785
21,403.28178122922503
22,419.9675451831862
23,438.7134379889832
24,455.62392225825283
25,474.7009559280498
26,489.36502908322274
27,508.7049947448563
28,525.903697066721
29,543.396947644185
